data;preco_br;;;;
21/10/1999;22,4;;;;
22/10/1999;22,26;;;;
25/10/1999;22,07;;;;
26/10/1999;21,95;;;;
27/10/1999;21,87;;;;
28/10/1999;21,78;;;;
29/10/1999;21,59;;;;
01/11/1999;21,46;;;;
03/11/1999;21,3;;;;
04/11/1999;21,08;;;;
05/11/1999;21,07;;;;
08/11/1999;21,07;;;;
09/11/1999;21,1;;;;
10/11/1999;20,79;;;;
11/11/1999;20,78;;;;
12/11/1999;20,71;;;;
16/11/1999;20,56;;;;
17/11/1999;20,62;;;;
18/11/1999;20,58;;;;
19/11/1999;20,57;;;;
22/11/1999;20,54;;;;
23/11/1999;20,47;;;;
24/11/1999;20,44;;;;
25/11/1999;20,41;;;;
26/11/1999;20,34;;;;
29/11/1999;20,37;;;;
30/11/1999;20,56;;;;
01/12/1999;20,56;;;;
02/12/1999;20,57;;;;
03/12/1999;20,52;;;;
06/12/1999;20,51;;;;
07/12/1999;20,51;;;;
08/12/1999;20,45;;;;
09/12/1999;20,4;;;;
10/12/1999;20,29;;;;
13/12/1999;20,05;;;;
14/12/1999;19,92;;;;
15/12/1999;19,53;;;;
16/12/1999;19,31;;;;
17/12/1999;19,17;;;;
20/12/1999;19,06;;;;
21/12/1999;19,06;;;;
22/12/1999;19,07;;;;
23/12/1999;19,08;;;;
27/12/1999;19,09;;;;
28/12/1999;19,13;;;;
29/12/1999;19,12;;;;
30/12/1999;19,16;;;;
03/01/2000;19,21;;;;
04/01/2000;19,24;;;;
05/01/2000;19,38;;;;
06/01/2000;19,63;;;;
07/01/2000;19,76;;;;
10/01/2000;19,75;;;;
11/01/2000;19,77;;;;
12/01/2000;19,86;;;;
13/01/2000;19,99;;;;
14/01/2000;20,08;;;;
17/01/2000;20,15;;;;
18/01/2000;20,25;;;;
19/01/2000;20,27;;;;
20/01/2000;20,28;;;;
21/01/2000;20,3;;;;
24/01/2000;20,31;;;;
26/01/2000;20,31;;;;
27/01/2000;20,33;;;;
28/01/2000;20,3;;;;
31/01/2000;19,99;;;;
01/02/2000;19,92;;;;
02/02/2000;19,87;;;;
03/02/2000;19,79;;;;
04/02/2000;19,59;;;;
07/02/2000;19,48;;;;
08/02/2000;19,31;;;;
09/02/2000;19,3;;;;
10/02/2000;19,42;;;;
11/02/2000;19,37;;;;
14/02/2000;19,36;;;;
15/02/2000;19,33;;;;
16/02/2000;19,19;;;;
17/02/2000;19,22;;;;
18/02/2000;19,17;;;;
21/02/2000;19,16;;;;
22/02/2000;19,2;;;;
23/02/2000;19,08;;;;
24/02/2000;19,08;;;;
25/02/2000;18,76;;;;
28/02/2000;18,8;;;;
29/02/2000;18,91;;;;
01/03/2000;18,85;;;;
02/03/2000;18,82;;;;
03/03/2000;18,55;;;;
08/03/2000;18,38;;;;
09/03/2000;18,29;;;;
10/03/2000;18,08;;;;
13/03/2000;17,98;;;;
14/03/2000;18,18;;;;
15/03/2000;18,12;;;;
16/03/2000;18,34;;;;
17/03/2000;18,64;;;;
20/03/2000;18,22;;;;
21/03/2000;18,04;;;;
22/03/2000;18,06;;;;
23/03/2000;17,82;;;;
24/03/2000;17,98;;;;
27/03/2000;18,07;;;;
28/03/2000;18,13;;;;
29/03/2000;18,14;;;;
30/03/2000;18,34;;;;
31/03/2000;18,53;;;;
03/04/2000;18,68;;;;
04/04/2000;18,58;;;;
05/04/2000;18,59;;;;
06/04/2000;18,31;;;;
07/04/2000;18,38;;;;
10/04/2000;18,32;;;;
11/04/2000;18,28;;;;
12/04/2000;18,44;;;;
13/04/2000;18,7;;;;
14/04/2000;18,86;;;;
17/04/2000;18,77;;;;
18/04/2000;18,81;;;;
19/04/2000;18,85;;;;
20/04/2000;18,82;;;;
24/04/2000;19,01;;;;
25/04/2000;19,11;;;;
26/04/2000;19,11;;;;
27/04/2000;19,04;;;;
28/04/2000;18,81;;;;
02/05/2000;19,62;;;;
03/05/2000;19,97;;;;
04/05/2000;19,96;;;;
05/05/2000;19,72;;;;
08/05/2000;19,37;;;;
09/05/2000;19,22;;;;
10/05/2000;19,82;;;;
11/05/2000;19,82;;;;
12/05/2000;19,77;;;;
15/05/2000;19,06;;;;
16/05/2000;19,11;;;;
17/05/2000;19,03;;;;
18/05/2000;19,85;;;;
19/05/2000;19,93;;;;
22/05/2000;20,1;;;;
23/05/2000;19,95;;;;
24/05/2000;19,73;;;;
25/05/2000;19,42;;;;
26/05/2000;19,44;;;;
29/05/2000;19,35;;;;
30/05/2000;18,77;;;;
31/05/2000;18,76;;;;
01/06/2000;18,87;;;;
02/06/2000;18,98;;;;
05/06/2000;18,77;;;;
06/06/2000;18,76;;;;
07/06/2000;18,67;;;;
08/06/2000;18,77;;;;
09/06/2000;18,76;;;;
12/06/2000;18,34;;;;
13/06/2000;18,47;;;;
14/06/2000;18,47;;;;
15/06/2000;18,6;;;;
16/06/2000;18,57;;;;
19/06/2000;18,35;;;;
20/06/2000;18,38;;;;
21/06/2000;18,71;;;;
23/06/2000;18,37;;;;
26/06/2000;18,38;;;;
27/06/2000;18,58;;;;
28/06/2000;18,48;;;;
29/06/2000;18,54;;;;
30/06/2000;18,27;;;;
03/07/2000;17,74;;;;
